Customer ID,Full Name,Mobile Number,Email,Street Address,City,State,ZIP,Device ID,Annual Income,Credit Score,Account Opened
CUST-F7122943,David Taylor,555-599-5417,f7122943-c4b@example.test,6940 Allison Cove Suite 121,Lake Matthew,VA,63650,19e9b478213fd35a,112091,608,17 Apr 2026
CUST-9F2C8B00,Catherine Bender,+1 555 113 8103,9F2C8B00-549@EXAMPLE.TEST,682 Christopher Rest Suite 876,South Joshuashire,MP,43220,2efe03b0bf85a990,20693,763,22 Apr 2025
CUST-D6678CF0,Shelley Vargas,(555) 187-2760,d6678cf0-777@example.test,86550 Chad Throughway,Parkerhaven,TN,45799,de201877a5d2c892,62047,603,19 Apr 2025
CUST-60543D0C,Ashley Kane,555.932.7051,60543d0c-ff9@example.test,063 Jensen Mountains Apt. 872,Mirandatown,KS,39209,d575bb10f287e724,18191,727,30 Nov 2025
CUST-429377AE,Jorge Lee,+1 555 528 6205,429377ae-c78@example.test,702 Misty Green Suite 897,Barrland,LA,86075,6aed88f21fd84ab8,121434,791,04 Sep 2025
CUST-CE0DA34B,Danny Chung,+1 555 091 0763,CE0DA34B-4C3@EXAMPLE.TEST,92450 Laura Mountains Suite 265,New Steven,CA,50525,b7c193f5aa1bc26d,67438,567,20 May 2025
CUST-0E6362BC,Christopher Perez,555-295-9903,0e6362bc-3fb@example.test,13911 Schwartz Mountain Apt. 701,Meyersside,PW,18343,e5e10923c3128a23,129407,649,10 Feb 2025
CUST-E19EEE6B,David Baker,N/A,e19eee6b-ba5@example.test,23810 Deleon Turnpike Suite 183,Harrismouth,MP,82345,b3e7cd1259e35ff0,31981,551,30 May 2025
CUST-ED284819,Mark Cook,N/A,ed284819-eca@example.test,0882 Miller Road Apt. 379,Franktown,DC,68579,5b9f234884093fb5,71594,648,23 Mar 2025
CUST-2E2EEECB,Alex Stout,555.682.5803,2e2eeecb-b8c@example.test,1 Corporate Plaza,Springfield,IL,62701,f038d6ed7cab8a99,37354,802,10 Sep 2025
CUST-9C11142B,Debbie Wise,(555) 592-2171,9c11142b-0ad@example.test,037 Rivera Vista Apt. 248,Charlesland,MT,24517,5c78d0be63b8faf3,63972,680,25 Jun 2025
CUST-3B63EA04,Rebecca Reed,+1 555 078 9497,3b63ea04-a2f@example.test,4230 DAVID PORTS SUITE 112,Port Tabithamouth,CA,53815,1a6d229dd52b25b8,55589,549,19 Apr 2025
CUST-165389CA,Laurie Owen,+1 555 413 8469,165389ca-b1d@example.test,115 Michael Valleys Apt. 848,New Richardborough,GU,99896,a8b0d5c047ef3607,61345,608,04 Jul 2025
CUST-0D3DCC6E,William Kramer,555.455.0117,0d3dcc6e-4db@example.test,617 Latoya Crest,Alexanderland,FM,73295,0f6770f313acceb3,57419,724,09 Mar 2025
